url,street_address,price,housing,map_address
https://sfbay.craigslist.org/scz/apa/d/felton-bedroom-sunny-home-in-ben-lomond/7794716921.html,N/A,"$2,800",/ 1br - 1000ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/boulder-creek-beautiful-boulder-creek/7794602455.html,N/A,"$3,600",/ 2br - 1440ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-beautiful-remodeled-home/7786909997.html,631 Riverside Avenue,"$4,885",/ 3br -,"https://www.google.com/maps/search/36.970003,-122.019902"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-downtown-victorian-house/7794561229.html,330 Lincoln Street near Washington,"$5,400",/ 4br - 1450ft2 -,"https://www.google.com/maps/search/36.972158,-122.028463"
https://sfbay.craigslist.org/scz/apa/d/aptos-beautiful-aptos-house-for-rent/7790195135.html,Casa Linda Lane near McDonald Road,"$3,950",/ 3br - 1650ft2 -,"https://www.google.com/maps/search/36.992990,-121.859515"
https://sfbay.craigslist.org/scz/apa/d/aptos-coatal-living-at-its-finest/7794548231.html,221 Highland Drive near Aptos Beach Drive,"$6,000",/ 1br - 1144ft2 -,"https://www.google.com/maps/search/36.971179,-121.900246"
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-br-ft2-scotts-valley-3bd/7790345663.html,22 Crescent Dr.,"$4,850",/ 3br -,"https://www.google.com/maps/search/37.072747,-121.987471"
https://sfbay.craigslist.org/scz/apa/d/watsonville-ranch-style-home-in/7794515937.html,Laken near Laken,"$3,410",/ 3br - 2171ft2 -,"https://www.google.com/maps/search/36.938252,-121.744060"
https://sfbay.craigslist.org/scz/apa/d/aptos-bedroom-bath-aptos-home/7791708893.html,684 Bayview,"$5,400",/ 3br - 1497ft2 -,"https://www.google.com/maps/search/36.960664,-121.889263"
https://sfbay.craigslist.org/scz/apa/d/watsonville-bedroom-bath-unit-for-rent/7788362264.html,N/A,"$3,244",/ 2br -,N/A
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-house-blocks-to-beach/7794262418.html,129 Trinity Ave near Cliff,"$2,950",/ 3br - 745ft2 -,"https://www.google.com/maps/search/36.966607,-122.020173"
