price,address,features,is_active,url
4995/mo,"1705 King St, Santa Cruz, CA 95060","3 bds, 2 ba, 1,863 sqft",House for rent,https://www.zillow.com/homedetails/1705-King-St-Santa-Cruz-CA-95060/16101446_zpid/
5500/mo,"1021 Nobel Dr, Santa Cruz, CA 95060","3 bds, 3 ba, 1,323 sqft",House for rent,https://www.zillow.com/homedetails/1021-Nobel-Dr-Santa-Cruz-CA-95060/16102502_zpid/
4500/mo,"438 Western Dr, Santa Cruz, CA 95060","2 bds, 1 ba, 1,155 sqft",House for rent,https://www.zillow.com/homedetails/438-Western-Dr-Santa-Cruz-CA-95060/16100916_zpid/
3250/mo,"306 Cliff St #14, Santa Cruz, CA 95060","2 bds, 1 ba, 428 sqft",Apartment for rent,https://www.zillow.com/homedetails/306-Cliff-St-14-Santa-Cruz-CA-95060/2070203876_zpid/
3595/mo,"131 Palo Verde Ter, Santa Cruz, CA 95060","2 bds, 2 ba, 828 sqft",House for rent,https://www.zillow.com/homedetails/131-Palo-Verde-Ter-Santa-Cruz-CA-95060/16101964_zpid/
3600/mo,"515 Bay St, Santa Cruz, CA 95060","2 bds, 1 ba, 822 sqft",House for rent,https://www.zillow.com/homedetails/515-Bay-St-Santa-Cruz-CA-95060/16105090_zpid/
8600/mo,"106 Grandview St, Santa Cruz, CA 95060","4 bds, 3 ba, 2,300 sqft",House for rent,https://www.zillow.com/homedetails/106-Grandview-St-Santa-Cruz-CA-95060/16100994_zpid/
2900/mo,"(undisclosed Address), Santa Cruz, CA 95060","Studio, 1 ba, 550 sqft",Apartment for rent,https://www.zillow.com/homedetails/Santa-Cruz-CA-95060/440924197_zpid/
4200/mo,"1135 King St #1, Santa Cruz, CA 95060","2 bds, 1 ba, 1,240 sqft",Apartment for rent,https://www.zillow.com/homedetails/1135-King-St-1-Santa-Cruz-CA-95060/441596963_zpid/
4995/mo,"202 Panetta Ave #10, Santa Cruz, CA 95060","2 bds, 3 ba, 1,340 sqft",Apartment for rent,https://www.zillow.com/homedetails/202-Panetta-Ave-10-Santa-Cruz-CA-95060/2066368828_zpid/
3495/mo,"312 Myrtle St #1, Santa Cruz, CA 95060","2 bds, 1 ba, 920 sqft",Townhouse for rent,https://www.zillow.com/homedetails/312-Myrtle-St-1-Santa-Cruz-CA-95060/441583034_zpid/
2800/mo,"311 Elm St #B, Santa Cruz, CA 95060","1 bd, 1 ba, 800 sqft",Apartment for rent,https://www.zillow.com/homedetails/311-Elm-St-B-Santa-Cruz-CA-95060/441554613_zpid/
