price,address,features,is_active,url
9800/mo,"2124 W Cliff Dr, Santa Cruz, CA 95060","5 bds, 4 ba, 2,128 sqft",House for rent,https://www.zillow.com/homedetails/2124-W-Cliff-Dr-Santa-Cruz-CA-95060/16103597_zpid/
4650/mo,"402 Alta Vista Dr, Santa Cruz, CA 95060","2 bds, 2 ba, 1,260 sqft",House for rent,https://www.zillow.com/homedetails/402-Alta-Vista-Dr-Santa-Cruz-CA-95060/16101192_zpid/
4975/mo,"210 Mira Vista Dr, Santa Cruz, CA 95060","4 bds, 2 ba, 1,510 sqft",House for rent,https://www.zillow.com/homedetails/210-Mira-Vista-Dr-Santa-Cruz-CA-95060/16101146_zpid/
2145/mo,"313 Raymond St APT 4, Santa Cruz, CA 95060","1 bd, 1 ba, 420 sqft",Apartment for rent,https://www.zillow.com/homedetails/313-Raymond-St-APT-4-Santa-Cruz-CA-95060/421750197_zpid/
3200/mo,"102 Palo Verde Ter, Santa Cruz, CA 95060","1 bd, 1 ba, 870 sqft",Townhouse for rent,https://www.zillow.com/homedetails/102-Palo-Verde-Ter-Santa-Cruz-CA-95060/16102001_zpid/
4800/mo,"417 Palm St, Santa Cruz, CA 95060","3 bds, 2 ba, 1,073 sqft",House for rent,https://www.zillow.com/homedetails/417-Palm-St-Santa-Cruz-CA-95060/16104415_zpid/
2150 - 2700,"232 River St, Santa Cruz, CA",No features available,No status available,"/b/building/36.980015,-122.02767_ll/"
2800/mo,"120 Trinity St APT 1, Santa Cruz, CA 95060","1 bd, 1 ba, 450 sqft",Apartment for rent,https://www.zillow.com/homedetails/120-Trinity-St-APT-1-Santa-Cruz-CA-95060/440782853_zpid/
6500/mo,"608 Arroyo Seco, Santa Cruz, CA 95060","4 bds, 3 ba, -- sqft",House for rent,https://www.zillow.com/homedetails/608-Arroyo-Seco-Santa-Cruz-CA-95060/16101634_zpid/
7000/mo,"312 Liberty St, Santa Cruz, CA 95060","3 bds, 2 ba, 1,258 sqft",House for rent,https://www.zillow.com/homedetails/312-Liberty-St-Santa-Cruz-CA-95060/16105457_zpid/
2100 - 2700,"902 3rd St, Santa Cruz, CA",No features available,No status available,/b/902-3rd-st-santa-cruz-ca-9NYfwq/
2850/mo,"129 Canfield Ave, Santa Cruz, CA 95060","2 bds, 1 ba, 716 sqft",Apartment for rent,https://www.zillow.com/homedetails/129-Canfield-Ave-Santa-Cruz-CA-95060/2067074849_zpid/
6500/mo,"400 Schiller Pl, Santa Cruz, CA 95060","4 bds, 4 ba, 2,629 sqft",House for rent,https://www.zillow.com/homedetails/400-Schiller-Pl-Santa-Cruz-CA-95060/122468806_zpid/
1995/mo,"1114 Pacific Ave #408, Santa Cruz, CA 95060","Studio, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/homedetails/1114-Pacific-Ave-408-Santa-Cruz-CA-95060/2062934901_zpid/
3850/mo,"202 Blackburn St #B, Santa Cruz, CA 95060","2 bds, 1 ba, 750 sqft",Apartment for rent,https://www.zillow.com/homedetails/202-Blackburn-St-B-Santa-Cruz-CA-95060/439249727_zpid/
2800/mo,"315 Ocean St UNIT 7, Santa Cruz, CA 95060","2 bds, 1 ba, 700 sqft",Townhouse for rent,https://www.zillow.com/homedetails/315-Ocean-St-UNIT-7-Santa-Cruz-CA-95060/441857004_zpid/
2000/mo,"311 Ocean St #9, Santa Cruz, CA 95060","1 bd, 1 ba, 575 sqft",Apartment for rent,https://www.zillow.com/homedetails/311-Ocean-St-9-Santa-Cruz-CA-95060/2081719915_zpid/
2250/mo,"(undisclosed Address), Santa Cruz, CA 95060","Studio, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/homedetails/Santa-Cruz-CA-95060/2087682664_zpid/
2600/mo,"366 Everson Dr, Santa Cruz, CA 95060","1 bd, 1 ba, 733 sqft",Apartment for rent,https://www.zillow.com/homedetails/366-Everson-Dr-Santa-Cruz-CA-95060/16105988_zpid/
4400/mo,"413 Laurel, 413 Laurel St #A, Santa Cruz, CA 95060","4 bds, 2 ba, 1,500 sqft",Apartment for rent,https://www.zillow.com/b/413-laurel-santa-cruz-ca-Ch8MZk/
1800 - 2500,"1200 El Rancho Dr, Santa Cruz, CA",No features available,No status available,/b/1200-el-rancho-dr-santa-cruz-ca-9NYYgS/
2650 - 2950,"Urban Comforts Await: Discover Your Tranquil Retreat Just Steps from Downtown"" | 320 Center St, Santa Cruz, CA",No features available,No status available,/b/urban-comforts-await-discover-your-tranquil-retreat-just-steps-from-downtown-santa-cruz-ca-9NYcwX/
