price,address,features,is_active,url
2400/mo,"2428 Glen Canyon Rd, Santa Cruz, CA 95060","1 bd, 1 ba, 450 sqft",Apartment for rent,https://www.zillow.com/homedetails/2428-Glen-Canyon-Rd-Santa-Cruz-CA-95060/54895110_zpid/
4850/mo,"947A Delaware Ave, Santa Cruz, CA 95060","3 bds, 2 ba, 1,500 sqft",House for rent,https://www.zillow.com/homedetails/947A-Delaware-Ave-Santa-Cruz-CA-95060/2054600691_zpid/
4900/mo,"403 California St, Santa Cruz, CA 95060","3 bds, 2 ba, 1,422 sqft",House for rent,https://www.zillow.com/homedetails/403-California-St-Santa-Cruz-CA-95060/16103931_zpid/
5400/mo,"330 Lincoln St, Santa Cruz, CA 95060","4 bds, 3 ba, 1,450 sqft",House for rent,https://www.zillow.com/homedetails/330-Lincoln-St-Santa-Cruz-CA-95060/16106075_zpid/
4250/mo,"908 King St #A, Santa Cruz, CA 95060","2 bds, 1 ba, 1,300 sqft",Apartment for rent,https://www.zillow.com/homedetails/908-King-St-A-Santa-Cruz-CA-95060/16107814_zpid/
3600/mo,"187 Palo Verde Ter, Santa Cruz, CA 95060","2 bds, 1 ba, 987 sqft",Apartment for rent,https://www.zillow.com/homedetails/187-Palo-Verde-Ter-Santa-Cruz-CA-95060/69307595_zpid/
2495/mo,"1529 Pacific Ave #2, Santa Cruz, CA 95060","1 bd, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/homedetails/1529-Pacific-Ave-2-Santa-Cruz-CA-95060/440753124_zpid/
7975/mo,"100 Calvin Pl, Santa Cruz, CA 95060","5 bds, 3 ba, 2,468 sqft",House for rent,https://www.zillow.com/homedetails/100-Calvin-Pl-Santa-Cruz-CA-95060/16101808_zpid/
2950/mo,"520 Maple St, Santa Cruz, CA 95060","1 bd, 1 ba, 800 sqft",House for rent,https://www.zillow.com/homedetails/520-Maple-St-Santa-Cruz-CA-95060/16108174_zpid/
4750/mo,"(undisclosed Address), Santa Cruz, CA 95060","3 bds, 2 ba, 1,220 sqft",House for rent,https://www.zillow.com/homedetails/Santa-Cruz-CA-95060/16104266_zpid/
5500/mo,"119 Highland Ave, Santa Cruz, CA 95060","4 bds, 2 ba, 1,836 sqft",House for rent,https://www.zillow.com/homedetails/119-Highland-Ave-Santa-Cruz-CA-95060/16107384_zpid/
4400/mo,"119 Shelter Lagoon Dr, Santa Cruz, CA 95060","2 bds, 2 ba, 1,286 sqft",Apartment for rent,https://www.zillow.com/homedetails/119-Shelter-Lagoon-Dr-Santa-Cruz-CA-95060/16105632_zpid/
1800/mo,"915 Fair Ave #B, Santa Cruz, CA 95060","Studio, 1 ba, 220 sqft",Apartment for rent,https://www.zillow.com/homedetails/915-Fair-Ave-B-Santa-Cruz-CA-95060/441568817_zpid/
2950/mo,"129 Trinity St, Santa Cruz, CA 95060","3 bds, 2 ba, 745 sqft",House for rent,https://www.zillow.com/homedetails/129-Trinity-St-Santa-Cruz-CA-95060/441703252_zpid/
4500/mo,"115A Hebard St #A, Santa Cruz, CA 95060","1 bd, 1 ba, 665 sqft",Apartment for rent,https://www.zillow.com/homedetails/115A-Hebard-St-A-Santa-Cruz-CA-95060/2053224735_zpid/
4500/mo,"708 Woodrow Ave, Santa Cruz, CA 95060","2 bds, 1 ba, 980 sqft",House for rent,https://www.zillow.com/homedetails/708-Woodrow-Ave-Santa-Cruz-CA-95060/16104611_zpid/
6995/mo,"620 Almar Ave, Santa Cruz, CA 95060","3 bds, 2 ba, 1,709 sqft",House for rent,https://www.zillow.com/homedetails/620-Almar-Ave-Santa-Cruz-CA-95060/108256903_zpid/
4000/mo,"(undisclosed Address), Santa Cruz, CA 95060","4 bds, 3 ba, 5,490 sqft",House for rent,https://www.zillow.com/homedetails/Santa-Cruz-CA-95060/16156139_zpid/
4250/mo,"318 Woodrow Ave, Santa Cruz, CA 95060","2 bds, 1 ba, 934 sqft",House for rent,https://www.zillow.com/homedetails/318-Woodrow-Ave-Santa-Cruz-CA-95060/16104922_zpid/
