price,address,features,is_active,url
2700/mo,"LIN, 315-323 Lincoln St #LIN, Santa Cruz, CA 95060","1 bd, 1 ba, 650 sqft",Apartment for rent,https://www.zillow.com/b/lin-santa-cruz-ca-BQG5tp/
3500/mo,"620.5 Laurel St, Santa Cruz, CA 95060","2 bds, 2 ba, -- sqft",Apartment for rent,https://www.zillow.com/homedetails/620-5-Laurel-St-Santa-Cruz-CA-95060/441640944_zpid/
2650+/mo,"Urban Comforts Await: Discover Your Tranquil Retreat Just Steps from Downtown, 320 Center St, Santa Cruz, CA 95060","1 bd, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/b/urban-comforts-await-discover-your-tranquil-retreat-just-steps-from-downtown-santa-cruz-ca-9NYcwX/
2850+ 1 bd,"148 Clay St, Santa Cruz, CA",No features available,No status available,/b/148-clay-st-santa-cruz-ca-BPC35c/
4600/mo,"905 Nobel Dr, Santa Cruz, CA 95060","2 bds, 3 ba, 1,167 sqft",House for rent,https://www.zillow.com/homedetails/905-Nobel-Dr-Santa-Cruz-CA-95060/16102508_zpid/
5750/mo,"218 Highland Ct, Santa Cruz, CA 95060","3 bds, 2 ba, 1,655 sqft",House for rent,https://www.zillow.com/homedetails/218-Highland-Ct-Santa-Cruz-CA-95060/16100280_zpid/
2900/mo,"212 Everson Dr, Santa Cruz, CA 95060","1 bd, 1 ba, 700 sqft",House for rent,https://www.zillow.com/homedetails/212-Everson-Dr-Santa-Cruz-CA-95060/16105971_zpid/
3800/mo,"507 Walnut Ave, Santa Cruz, CA 95060","3 bds, 1 ba, -- sqft",Townhouse for rent,https://www.zillow.com/homedetails/507-Walnut-Ave-Santa-Cruz-CA-95060/2087851669_zpid/
3750/mo,"High St., 404 High St #B, Santa Cruz, CA 95060","2 bds, 1 ba, 930 sqft",Apartment for rent,https://www.zillow.com/b/high-st.-santa-cruz-ca-CgLWRT/
3250/mo,"217 Berry St, Santa Cruz, CA 95060","2 bds, 1 ba, -- sqft",Townhouse for rent,https://www.zillow.com/homedetails/217-Berry-St-Santa-Cruz-CA-95060/2090146857_zpid/
4440/mo,"Close to Everything Santa Cruz, 317 Barson St #317, Santa Cruz, CA 95060","4 bds, 2 ba, 975 sqft",Apartment for rent,https://www.zillow.com/b/close-to-everything-santa-cruz-santa-cruz-ca-5ZTHZT/
1895+ Studio,"Pacific View Courts | 81 Front St, Santa Cruz, CA",No features available,No status available,/b/pacific-view-courts-santa-cruz-ca-5Xm3RB/
2950/mo,"816 Riverside Avenue, 816 Riverside Ave #4, Santa Cruz, CA 95060","2 bds, 1 ba, -- sqft",Apartment for rent,https://www.zillow.com/b/816-riverside-avenue-santa-cruz-ca-5XyWGQ/
2775/mo,"The Sands, 304 Cliff St APT 12, Santa Cruz, CA 95060","1 bd, 1 ba, 418 sqft",Apartment for rent,https://www.zillow.com/b/the-sands-santa-cruz-ca-5XrzHM/
1825+ Studio,"Seaside Studios | 108 2nd St, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/seaside-studios/5Xyb6f/
